,Unnamed: 0_x,fipsCode,amount_land,amount_water,latitude,longitude,venue_id,brand,state_x,city,daily_traffic_avg,home_air_distance_kilometers_median,home_air_distance_kilometers_25th_pct,home_air_distance_75th_kilometers_pct,work_air_distance_kilometers_median,work_air_distance_25th_kilometers_pct,work_air_distance_75th_kilometers_pct,traffic_fraction,people_fraction,venue_air_distance,population,Unnamed: 0_y,state_y,map_count_by_city,Unnamed: 0,state,daily_traffic_avg_avg,home_air_distance_kilometers_median_avg,home_air_distance_kilometers_25th_pct_avg,home_air_distance_75th_kilometers_pct_avg,work_air_distance_kilometers_median_avg,work_air_distance_25th_kilometers_pct_avg,work_air_distance_75th_kilometers_pct_avg,income_mean,income_median
59,60,80010091041,1360693.0,0,39.8694319,-104.9361958,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.004,0.006999999999999999,5.2120000000000015,2903,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
60,61,80010091042,1256662.0,981,39.860984,-104.94615690000002,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006,0.006999999999999999,5.727,3265,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
61,62,80010092021,597298.0,0,39.867631,-104.9664851,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.005,0.005,5.066,2383,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
62,63,80010092022,671779.0,1771,39.8656794,-104.9729843,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.002,0.005,5.021,1323,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
63,64,80010092041,1259913.0,44618,39.8838998,-104.968095,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.009000000000000001,0.015,3.503,3254,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
64,65,80010092041,1259913.0,44618,39.8838998,-104.968095,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.002,0.004,6.51,3254,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
65,66,80010092042,644435.0,3073,39.8748548,-104.97157,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.003,0.006,4.3180000000000005,1950,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
66,67,80010092043,596775.0,2637,39.8766063,-104.962461,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006999999999999999,0.006999999999999999,4.351,1796,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
67,68,80010092043,596775.0,2637,39.8766063,-104.962461,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.002,0.003,7.667999999999998,1796,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
68,69,80010092061,1295356.0,11050,39.8814357,-104.9491288,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.009000000000000001,0.008,3.724,2199,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
69,70,80010092071,921921.0,0,39.8725661,-104.9464479,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.004,0.006999999999999999,4.7860000000000005,2983,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
